Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,News Sentiments
29-08-2017,141.3289075,141.8260422,140.9116665,141.4887085,3283400,0,0,2.120847062
30-08-2017,141.4529445,142.5602832,141.3815157,142.4620514,2236500,0.94,0,0.720955122
31-08-2017,142.676381,142.8817697,142.301318,142.8549805,2717000,0,0,-2.907406676
01-09-2017,142.7657367,143.0604321,142.4353268,142.7121582,1878300,0,0,1.370772633
05-09-2017,141.9887879,142.6853356,141.158294,142.0780945,4000500,0,0,1.153498322
06-09-2017,142.1941574,142.3191784,141.2922211,141.2922211,4143300,0,0,-1.218708693
07-09-2017,141.5154659,142.9442891,141.3904449,142.7924652,2965400,0,0,0.156668824
08-09-2017,142.4620689,143.2211338,142.1495095,142.622818,2984200,0,0,2.729668721
11-09-2017,142.8817867,144.417767,142.8103441,144.2480927,2333600,0,0,-1.330796838
12-09-2017,143.0693343,143.5247651,139.1043623,139.6044464,10324100,0,0,0.692899294
13-09-2017,139.9705655,140.8992911,139.3097324,140.2027435,4705600,0,0,2.200320693
14-09-2017,140.2027435,140.5153029,139.3543857,140.2027435,3109700,0,0,-2.644834684
15-09-2017,140.9082172,141.0957555,140.0955874,140.1313019,7425100,0,0,-2.494112932
18-09-2017,140.8457008,140.9082045,139.62228,139.9169617,3831900,0,0,-2.282060608
19-09-2017,140.4438595,141.0064473,139.6044269,140.586731,3554600,0,0,2.113556574
20-09-2017,141.0064558,142.7835529,140.8814348,142.7746277,3641100,0,0,1.887601362
21-09-2017,142.7656747,142.9621383,141.5511791,142.0155487,2503400,0,0,0.046309834
22-09-2017,141.8816275,142.6496177,141.5958574,141.9084167,2442700,0,0,-2.907069843
25-09-2017,141.515492,141.7119555,139.3990597,139.5419312,3661500,0,0,-3.989702161
26-09-2017,139.5329948,140.0598681,136.8718253,136.9432678,6420000,0,0,1.856101629
27-09-2017,137.086141,138.1399012,137.0236373,137.5683746,3915900,0,0,-0.196709501
28-09-2017,139.4526286,141.3725972,138.8453739,140.6403351,4210200,0,0,-1.456745387
29-09-2017,140.6581625,141.1314572,139.4168777,139.9169617,3670100,0,0,-1.144236361
02-10-2017,139.3097564,140.3635032,139.1311569,140.1670532,2407000,0,0,1.151729591
03-10-2017,139.979466,140.6135098,139.6311923,140.0776978,2188400,0,0,0.592706649
04-10-2017,140.0509407,140.577814,139.8901916,140.3902893,1823100,0,0,-1.117104804
05-10-2017,140.4706336,141.9173071,140.4706336,141.8101501,2796000,0,0,-0.857335932
06-10-2017,141.6137067,142.9978767,141.6137067,142.5245819,3548500,0,0,2.601740599
09-10-2017,142.5335522,143.3194066,142.4353204,142.9889832,2120000,0,0,-0.620587594
10-10-2017,142.6049551,144.2927457,142.5156485,143.3997345,2909600,0,0,4.239237763
11-10-2017,143.6854881,145.7751445,143.3997316,145.6947632,3572500,0,0,0.805058128
12-10-2017,145.5518903,146.8110256,145.3554267,146.3734589,3023600,0,0,2.914690715
13-10-2017,146.8556927,147.8022824,146.5252829,147.6772614,2957400,0,0,1.559150728
16-10-2017,147.7397911,148.0076972,146.8467798,147.3557892,2132300,0,0,-1.95888659
17-10-2017,147.2753686,148.2576861,147.1235583,147.70401,2379700,0,0,0.241855958
