Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,News Sentiments
24-07-2017,30.54189009,30.60344848,30.23409812,30.33962631,16146300,0,0,3.217471474
25-07-2017,30.3835904,30.55068031,30.25168102,30.48911858,18096700,0,0,0.29985157
26-07-2017,30.51550134,30.75294224,30.41876579,30.55947113,15499300,0,0,1.463964503
27-07-2017,30.58584934,30.99917271,30.48911379,30.75293922,43062800,0,0,1.610142503
28-07-2017,30.89365648,31.53562501,30.7793323,31.05195045,36291500,0,0,-1.027758565
31-07-2017,31.19265175,31.43009268,31.060739,31.19265175,27057000,0,0,1.893390992
01-08-2017,31.35974232,32.03688803,31.28059533,31.96653366,38710200,0,0,-0.516786261
02-08-2017,31.94895043,32.24794646,31.71150945,32.22156525,35004300,0,0,-0.171875115
03-08-2017,32.3836982,32.41913944,32.02929586,32.3305397,26611300,0.273,0,1.440071683
04-08-2017,32.29510011,32.39256185,31.98499425,32.16219711,20520300,0,0,1.711224058
07-08-2017,32.24193683,32.38369845,32.0913166,32.27737808,18169300,0,0,0.389687926
08-08-2017,32.22421375,32.51659896,32.16219326,32.259655,22819900,0,0,1.407817549
09-08-2017,32.14447526,32.48116036,31.91411391,32.41913986,22796800,0,0,-3.08148735
10-08-2017,32.25080007,32.39256169,31.99385609,32.02043533,22693300,0,0,1.439122823
11-08-2017,32.12675751,32.25080189,31.71033464,31.78121376,19275100,0,0,1.040610803
14-08-2017,32.00271597,32.31282184,31.9672781,32.19763947,18469400,0,0,0.66036446
15-08-2017,32.16219542,32.17991604,31.73691059,31.89639282,21706600,0,0,-0.868571388
16-08-2017,31.87867621,31.95841733,31.5065532,31.72805595,22014000,0,0,-3.937782832
17-08-2017,31.54199581,31.61287832,31.16101074,31.16101074,19525000,0,0,-2.29709783
18-08-2017,31.26732862,31.28504924,31.00152599,31.01924324,16231400,0,0,-0.944585765
21-08-2017,31.09012826,31.25846915,30.74458449,30.93950462,26493300,0,0,1.443091425
22-08-2017,31.02809847,31.17871868,30.6736928,30.70027542,26097800,0,0,0.515593048
